	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
10207	東京メトロ東西線 九段下駅 9階建 築14年	東京都千代田区九段北１	東京メトロ東西線/九段下駅 歩2分	東京メトロ半蔵門線/神保町駅 歩5分	ＪＲ総武線/飯田橋駅 歩9分			11階	9.9万円	7000円	9.9万円/9.9万円/-/-	1K	22.26m	https://suumo.jp/chintai/jnc_000041179158/?bc=100121015505
10208	ライオンズステーションプラザ半蔵門	東京都千代田区麹町１	東京メトロ半蔵門線/半蔵門駅 歩1分	東京メトロ有楽町線/麹町駅 歩5分	東京メトロ有楽町線/永田町駅 歩8分			12階	10万円	7000円	10万円/10万円/-/-	1K	22.26m	https://suumo.jp/chintai/jnc_000041506772/?bc=100010940980
10209	ライオンズステーションプラザ半蔵門	東京都千代田区麹町１	東京メトロ半蔵門線/半蔵門駅 歩1分	東京メトロ有楽町線/麹町駅 歩5分	東京メトロ有楽町線/永田町駅 歩8分			8階	12.7万円	7000円	12.7万円/12.7万円/-/-	1K	36.24m	https://suumo.jp/chintai/jnc_000041506772/?bc=100010940980
10210	グレイスフルリッチ	東京都台東区橋場１	東京メトロ日比谷線/南千住駅 歩18分	東京メトロ銀座線/浅草駅 歩20分	東42乙/東京都人権プラザ 歩1分			12階	26万円	10000円	26万円/26万円/-/-	1LDK	60.1m	https://suumo.jp/chintai/jnc_000040446542/?bc=100119741776
10211	グレイスフルリッチ	東京都台東区橋場１	東京メトロ日比谷線/南千住駅 歩18分	東京メトロ銀座線/浅草駅 歩20分	東42乙/東京都人権プラザ 歩1分			2階	8.2万円	10000円	-/-/8.2万円/9.2万円	1K	25.83m	https://suumo.jp/chintai/jnc_000040446542/?bc=100119741776
10212	東京メトロ日比谷線 三ノ輪駅 13階建 築23年	東京都台東区根岸５	東京メトロ日比谷線/三ノ輪駅 歩1分	都電荒川線/三ノ輪橋駅 歩4分	都電荒川線/荒川区役所前駅 歩10分			8階	8.9万円	3000円	8.9万円/8.9万円/-/8.9万円	1K	25.83m	https://suumo.jp/chintai/jnc_000041262407/?bc=100124886038
10213	レオパード浅草	東京都台東区寿１	都営大江戸線/蔵前駅 歩2分	東京メトロ銀座線/田原町駅 歩5分	ＪＲ総武線/浅草橋駅 歩14分			2階	8.2万円	10000円	-/-/9.2万円/9.2万円	1K	25.83m	https://suumo.jp/chintai/jnc_000041069068/?bc=100124167757
10214	レオパード浅草	東京都台東区寿１	都営大江戸線/蔵前駅 歩2分	東京メトロ銀座線/田原町駅 歩5分	ＪＲ総武線/浅草橋駅 歩14分			4階	7.6万円	3000円	7.6万円/7.6万円/-/-	ワンルーム	26.3m	https://suumo.jp/chintai/jnc_000041069068/?bc=100124167757
10215	エルヴァージュ神田神保町/メディカルモール神田神保町	東京都千代田区神田神保町２	都営三田線/神保町駅 歩1分	東京メトロ半蔵門線/九段下駅 歩7分	東京メトロ東西線/竹橋駅 歩10分			4階	11.3万円	12000円	11.3万円/11.3万円/-/-	1K	30.36m	https://suumo.jp/chintai/jnc_000041262114/?bc=100124977234
10216	エルヴァージュ神田神保町/メディカルモール神田神保町	東京都千代田区神田神保町２	都営三田線/神保町駅 歩1分	東京メトロ半蔵門線/九段下駅 歩7分	東京メトロ東西線/竹橋駅 歩10分			5階	7.9万円	6000円	7.9万円/15.8万円/-/-	1K	21.91m	https://suumo.jp/chintai/jnc_000041262114/?bc=100124977234
