	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
40	第三鳥塚ビル	東京都足立区綾瀬２	ＪＲ常磐線/綾瀬駅 歩4分	つくばエクスプレス/青井駅 歩23分	東武伊勢崎線/小菅駅 歩17分			2階	8.8万円	7000円	8.8万円/-/-/-	2LDK	50m
41	エムズ	東京都足立区鹿浜８	日暮里・舎人ライナー/谷在家駅 歩8分	日暮里・舎人ライナー/西新井大師西駅 歩10分	ＪＲ京浜東北線/赤羽駅 バス24分 (バス停)鹿浜6丁目 歩6分			2階	8.4万円	3000円	4.2万円/8.4万円/-/-	2LDK	57m
42	カーサストーン	東京都足立区谷中３	東京メトロ千代田線/北綾瀬駅 歩10分	つくばエクスプレス/六町駅 歩18分	つくばエクスプレス/青井駅 歩28分			5階	8.8万円	7000円	-/-/-/-	3LDK	66.52m
43	シャトーメルヴェーユ	東京都足立区伊興本町１	東武伊勢崎線/竹ノ塚駅 歩8分					3階	10.2万円	10000円	10.2万円/-/-/-	3LDK	65.63m
44	ＲｏｓｅｄｅＮｏｅｌ	東京都足立区江北３	日暮里・舎人ライナー/江北駅 歩11分	東武伊勢崎線/西新井駅 バス7分 (バス停)上沼田団地入口（バス） 歩4分	東武伊勢崎線/北千住駅 バス20分 (バス停)上沼田団地入口（バス） 歩4分			1階	9.3万円	3000円	-/-/-/-	2LDK	55m
45	サンジュール	東京都足立区江北７	日暮里・舎人ライナー/西新井大師西駅 歩10分	東武大師線/大師前駅 歩20分	東京メトロ日比谷線/北千住駅 車17分(7.1km)			3階	8万円	3500円	8万円/-/-/-	1LDK	36m
46	リヴィエール青井Ａ棟	東京都足立区青井５	つくばエクスプレス/青井駅 歩8分	つくばエクスプレス/六町駅 歩12分	東武伊勢崎線/五反野駅 歩25分			1階	7.2万円	3000円	-/-/-/-	3DK	52.17m
47	東武大師線 大師前駅 2階建 築6年	東京都足立区西新井本町１	東武大師線/大師前駅 歩11分	東武伊勢崎線/西新井駅 歩16分	日暮里・舎人ライナー/江北駅 歩14分			1階	7.8万円	2000円	7.8万円/7.8万円/-/-	1LDK	42.1m
48	東武大師線 大師前駅 2階建 築6年	東京都足立区西新井本町１	東武大師線/大師前駅 歩11分	東武伊勢崎線/西新井駅 歩16分	日暮里・舎人ライナー/江北駅 歩14分			1階	7.8万円	2000円	7.8万円/7.8万円/-/-	1LDK	42.1m
49	コモド	東京都足立区綾瀬５	ＪＲ常磐線/綾瀬駅 歩11分	つくばエクスプレス/青井駅 歩16分	東京メトロ千代田線/北綾瀬駅 歩15分			1階	7.6万円	5000円	7.6万円/7.6万円/-/-	1LDK	40m
50	ＪＲ常磐線 綾瀬駅 3階建 築2年	東京都足立区綾瀬５	ＪＲ常磐線/綾瀬駅 歩8分	つくばエクスプレス/青井駅 歩14分	東京メトロ千代田線/北綾瀬駅 歩15分			1階	7.6万円	5000円	7.6万円/7.6万円/-/-	1LDK	40m
51	サンライズ朝香	東京都足立区伊興４	東武伊勢崎線/竹ノ塚駅 歩8分	日暮里・舎人ライナー/舎人公園駅 歩25分	日暮里・舎人ライナー/谷在家駅 歩25分			4階	8.8万円	10000円	8.8万円/-/-/-	2LDK	50m
52	アーバングレース	東京都足立区梅島２	東武伊勢崎線/梅島駅 歩4分	東武伊勢崎線/西新井駅 歩10分	東武伊勢崎線/五反野駅 歩21分			2階	8.3万円	2500円	8.3万円/8.3万円/-/-	1LDK	49.96m
53	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			1階	6.6万円	4000円	13.2万円/-/-/-	1K	31.57m
54	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	7.7万円	4000円	15.4万円/-/-/-	1LDK	42.84m
55	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	7.9万円	4000円	15.8万円/-/-/-	1LDK	42.84m
56	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	7.9万円	4000円	15.8万円/-/-/-	1LDK	42.84m
57	ダイアパレス西新井大師前	東京都足立区興野２	日暮里・舎人ライナー/高野駅 歩9分	日暮里・舎人ライナー/扇大橋駅 歩13分	日暮里・舎人ライナー/江北駅 歩14分			2階	9万円	3000円	9万円/9万円/-/-	3LDK	62.8m
