	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
79	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			10階	14.7万円	12000円	29.4万円/14.7万円/-/-	1LDK	32.77m
80	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			10階	15.2万円	12000円	30.4万円/15.2万円/-/-	1LDK	32.77m
81	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			13階	15.3万円	12000円	30.6万円/15.3万円/-/-	1LDK	32.77m
82	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			3階	15.7万円	12000円	31.4万円/15.7万円/-/-	1LDK	41.27m
83	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			6階	16.7万円	12000円	33.4万円/16.7万円/-/-	1LDK	42.57m
84	パークアクシス浅草・田原町	東京都台東区寿４	都営浅草線/浅草駅 歩5分	東京メトロ銀座線/田原町駅 歩2分	都営大江戸線/蔵前駅 歩6分			14階	22.9万円	15000円	45.8万円/22.9万円/-/-	2LDK	53.1m
85	メゾンド根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩2分	ＪＲ京浜東北線/日暮里駅 歩10分	東京メトロ日比谷線/入谷駅 歩10分			3階	12.9万円	4000円	12.9万円/12.9万円/-/-	3DK	49.29m
86	フェルクルール上野根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩5分	ＪＲ京浜東北線/日暮里駅 歩7分	ＪＲ山手線/日暮里駅 歩7分			2階	7.85万円	10000円	7.85万円/7.85万円/-/-	1K	25.29m
87	フェルクルール上野根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩5分	ＪＲ京浜東北線/日暮里駅 歩7分	ＪＲ山手線/日暮里駅 歩7分			5階	8.7万円	10500円	-/8.7万円/-/-	1K	26.44m
88	フェルクルール上野根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩5分	ＪＲ京浜東北線/日暮里駅 歩7分	ＪＲ山手線/日暮里駅 歩7分			5階	9.2万円	10500円	-/9.2万円/-/-	1K	26.44m
89	フェルクルール上野根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩5分	ＪＲ京浜東北線/日暮里駅 歩7分	ＪＲ山手線/日暮里駅 歩7分			7階	12.5万円	12000円	12.5万円/12.5万円/-/12.5万円	1LDK	44.53m
